,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
364,balkanabat,tm,39.51,54.36,36.68,83.0,0.0,1.92
365,thunder bay,ca,48.41,-89.26,44.6,87.0,90.0,8.05
367,bakreswar,in,23.88,87.37,66.47,86.0,24.0,2.93
368,cortona,it,43.28,11.99,66.2,77.0,44.0,10.29
369,ust-nera,ru,64.57,143.24,2.89,76.0,44.0,2.26
370,balezino,ru,57.97,53.01,31.1,84.0,80.0,15.79
371,lethem,gy,3.38,-59.8,97.25,34.0,0.0,14.67
372,sao filipe,cv,14.9,-24.5,78.35,98.0,8.0,12.44
373,muramvya,bi,-3.27,29.62,55.99,91.0,56.0,2.15
374,shambu,et,9.57,37.1,55.04,68.0,80.0,2.71
375,rognan,no,67.1,15.4,28.4,79.0,0.0,12.75
376,mossendjo,cg,-2.95,12.72,71.33,99.0,88.0,2.26
377,puri,in,19.8,85.85,68.0,94.0,0.0,2.24
378,verkhnyaya inta,ru,65.99,60.32,29.03,82.0,92.0,4.61
379,kahului,us,20.89,-156.47,82.31,58.0,75.0,13.87
380,te anau,nz,-45.41,167.72,44.33,100.0,92.0,3.6
381,marienburg,sr,5.88,-55.04,87.01,66.0,20.0,6.93
382,provideniya,ru,64.42,-173.23,25.57,100.0,0.0,8.97
383,camabatela,ao,-8.19,15.37,67.28,86.0,36.0,3.83
384,bahadurganj,in,26.26,87.82,65.3,66.0,0.0,2.71
385,longkou,cn,37.64,120.47,58.91,93.0,0.0,20.6
386,ekhabi,ru,53.51,142.97,42.53,96.0,92.0,29.21
387,eyrarbakki,is,63.86,-21.15,41.0,65.0,90.0,24.16
388,kununurra,au,-15.77,128.74,89.6,38.0,0.0,8.05
389,teruel,es,40.34,-1.11,50.0,61.0,75.0,11.41
390,raudeberg,no,61.99,5.14,32.0,100.0,0.0,8.05
391,saint george,bm,32.38,-64.68,77.0,69.0,75.0,19.46
392,bafoulabe,ml,13.81,-10.83,82.36,62.0,24.0,7.4
394,sawakin,sd,19.1,37.33,79.57,92.0,32.0,9.75
397,oksfjord,no,70.24,22.35,28.49,92.0,88.0,4.7
398,tiarei,pf,-17.53,-149.33,86.0,66.0,20.0,11.41
399,taoudenni,ml,22.68,-3.98,69.76,29.0,20.0,5.06
401,igra,ru,57.55,53.1,30.92,79.0,44.0,11.21
402,genhe,cn,50.78,121.52,18.64,70.0,92.0,17.36
403,teya,ru,60.37,92.63,39.52,63.0,0.0,9.75
404,ancud,cl,-41.87,-73.83,54.14,96.0,92.0,5.73
405,taltal,cl,-25.41,-70.49,69.67,68.0,0.0,3.6
406,hammerfest,no,70.66,23.68,30.2,86.0,80.0,11.41
407,chimore,bo,-16.98,-65.13,82.94,72.0,68.0,3.15
408,lagos,pt,37.1,-8.67,57.2,47.0,0.0,11.41
409,yulara,au,-25.24,130.99,62.6,93.0,32.0,8.05
410,redlands,us,34.06,-117.19,91.38,17.0,5.0,5.82
411,buchanan,lr,5.88,-10.05,77.0,94.0,40.0,3.36
412,aleksandrovsk-sakhalinskiy,ru,50.9,142.16,46.09,99.0,88.0,11.32
413,foumban,cm,5.73,10.9,64.99,86.0,68.0,3.6
414,dudinka,ru,69.41,86.18,32.59,94.0,88.0,22.5
415,mendoza,ar,-32.89,-68.84,82.4,34.0,40.0,10.29
416,mwinilunga,zm,-11.73,24.43,66.07,41.0,0.0,5.17
417,quatre cocos,mu,-20.21,57.76,66.2,82.0,20.0,8.05
418,bend,us,44.06,-121.32,67.12,52.0,75.0,13.87
419,mahanoro,mg,-19.9,48.8,66.74,98.0,44.0,2.59
420,akhmim,eg,26.56,31.74,57.29,59.0,0.0,4.61
421,mitu,co,1.2,-70.17,87.35,71.0,12.0,2.37
422,tandil,ar,-37.33,-59.14,66.92,69.0,64.0,6.4
423,riyadh,sa,24.63,46.72,69.8,83.0,75.0,11.41
424,port blair,in,11.67,92.75,84.07,100.0,8.0,13.44
425,kresttsy,ru,58.25,32.52,35.96,96.0,92.0,10.42
426,hangal,in,14.77,75.13,68.77,53.0,0.0,7.52
427,cartagena,co,5.03,-75.64,74.34,88.0,75.0,2.24
428,yertsevo,ru,60.8,40.09,29.84,89.0,64.0,2.82
429,ulladulla,au,-35.36,150.48,59.0,54.0,90.0,12.75
430,kupang,id,-10.16,123.6,77.59,100.0,76.0,4.5
431,nanortalik,gl,60.14,-45.24,35.96,95.0,92.0,13.44
432,cam ranh,vn,11.92,109.15,79.07,94.0,76.0,15.9
433,krapivinskiy,ru,55.0,86.81,37.4,64.0,0.0,8.95
435,arti,ru,56.43,58.53,31.96,83.0,88.0,9.98
436,hambantota,lk,6.12,81.12,76.06,100.0,92.0,7.29
437,guerrero negro,mx,27.97,-114.04,86.27,39.0,0.0,9.75
438,georgetown,gy,6.8,-58.16,84.2,70.0,20.0,13.87
439,tautira,pf,-17.73,-149.15,86.0,66.0,20.0,11.41
440,mozarlandia,br,-14.74,-50.57,90.91,41.0,0.0,6.62
441,beaufort,my,5.36,115.76,77.88,94.0,75.0,2.59
443,podgornoye,ru,57.79,82.64,46.72,52.0,88.0,9.75
444,sampit,id,-2.54,112.95,72.64,97.0,32.0,5.73
446,cockburn town,tc,21.46,-71.14,83.17,100.0,12.0,9.75
447,madaba,jo,31.72,35.79,52.74,71.0,0.0,5.82
448,paso de los toros,uy,-32.81,-56.52,71.6,46.0,40.0,9.17
449,praia da vitoria,pt,38.73,-27.07,64.4,63.0,75.0,20.15
450,basco,ph,20.45,121.97,77.59,100.0,0.0,30.89
451,kirakira,sb,-10.46,161.92,83.44,100.0,56.0,4.27
452,plyussa,ru,58.42,29.37,35.24,100.0,92.0,1.92
453,vangaindrano,mg,-23.35,47.6,62.11,100.0,92.0,3.49
455,terrace,ca,54.52,-128.61,46.4,75.0,90.0,18.34
